producto,costo,precio_venta,precio_promocional
Mercurio Elite,833000,1440000,1240000
Bota Esordio,204000,449000,310000
Bota Rondo,340000,680000,505000
Overture - Edea Ice,399500,740000,591000
Bota Ritmo,510000,844000,754000
Bota Ritmo Black,510000,844000,754000
Bota Edea Classica,510000,844000,754000
Chorus - Edea Ice,569500,932000,842000
Concerto Ice,722500,1158000,1068000
Bota Edea Flamenco,816000,1296000,1206000
Bota Edea Fly,850000,1346000,1256000
Bota Edea Fly Black,850000,1346000,1256000
Ruedas Ice 61mm,83300,174000,124000
Magnum 57mm,38250,107000,57000
Giotto 57 MM,50150,125000,75000
Angel 57mm,54400,131000,81000
Ruedas Devil Rolline 57mm,57800,136000,86000
Ruedas Ghibli 57mm,62900,143000,93000
Ruedas Fox 92A 57mm Set de 4 ruedas.,66300,148000,98000
Ruedas Panther 95A 57mm,66300,148000,98000
Ruedas Mustang 97A 57mm,66300,148000,98000
Ruedas Leopard 99A 57mm,66300,148000,98000
Ruedas Sfera 63 MM,59500,138000,88000
Ruedas Rollervar Quad 58mm 85A,50830,126000,76000
Ruedas Felix HD 52 57mm,54400,131000,81000
Ruedas Helium 64mm 83A,119000,226000,176000
Frenos Rollervar color,8500,63000,13000
Freno Escuela,13600,71000,21000
Freno redondo Riedell,28900,93000,43000
Freno Mignom Dance,34000,101000,51000
Freno Gris,47600,121000,71000
Freno Rosa,51000,126000,76000
Professional Ambar,56100,133000,83000
Freno Cappuccino,59500,138000,88000
Candy Abec 7,42500,113000,63000
Density Abec 5,47600,121000,71000
Density Abec 9 volume two Super Speed,68000,151000,101000
Density Super Star Abec 9,85000,176000,126000
Abec 9,108800,211000,161000
Bolso Bystry 2026,59500,138000,88000
Bolso porta ruedas Roll Line,61200,141000,91000
Mochila Roll Line,100300,199000,149000
Trolley Roll Line,168300,299000,249000
Bolso para ruedas Buddies,37400,106000,56000
Caja de panuelos,44200,116000,66000
Bolso para ruedas Edea,66300,148000,98000
Edea Stripes,66300,148000,98000
Edea Kitten,68000,151000,101000
Edea Signorina,73100,158000,108000
Edea Ariel,73100,158000,108000
Edea Gold,73100,158000,108000
Cosmetiquero Edea With Me,76500,164000,114000
Cosmetiquero Edea Mon Amour 2025,100300,199000,149000
Mochila Libra Sky Edea,102000,201000,151000
Cube Edea,102000,201000,151000
Libra Black Edea,102000,201000,151000
Mochila EDEA TROLLEY JACQUARD,149600,271000,221000
Trolley Reflex,236300,440000,350000
Bolso porta ruedas Azul RISPORT 2026,66300,148000,98000
Bolso Risport Standard 2025,73100,158000,108000
Bolso Trolley Azul Risport 2026,236300,440000,350000
Cordones Risport,10200,66000,16000
Cordones normales - Edea,10200,66000,16000
Cordones con strass - Edea,15300,73000,23000
Plantillas Insole Impact,32300,98000,48000
Plantilla Tecnica Patinaje Artistico,50983,126000,76000
Plantillas Anti Shock,51000,126000,76000
Plantillas Edea E-Soles,66300,148000,98000
Panty simple al Detalle,11730,68000,18000
Panty simple con strass al detalle,16150,74000,24000
Panty con estribo al detalle,16150,74000,24000
Repuestos Plancha Variant C,4250,57000,7000
Repuestos Plancha Matrix,4250,57000,7000
Repuestos Plancha Dance,4250,57000,7000
Repuestos en Linea,6800,61000,11000
Repuestos Plancha EVO,10200,66000,16000
Repuestos Plancha Mistral,10200,66000,16000
Repuestos Plancha Variant M,10200,66000,16000
Track Komplex,30600,96000,46000
Truck Evo & Matrix Back Left steel,117300,224000,174000
